Ecoregions;Fish_Richness;SumNat_PFC;Habitat_Heterogeneity;Pred_Richness_Fish;lower_Richness_Fish;upperr_Richness_Fish
NPL;6;1.138754457;1.435;3.237961414;3.00982551;3.466097317
NPL;12;0.609476993;1.445;3.24351909;3.014779146;3.472259034
TPL;6;0.709349619;1.454;3.248520999;3.019227614;3.477814383
NPL;8;0.609476993;1.462;3.25296714;3.023174066;3.482760213
NPL;10;0.487077867;1.464;3.254078675;3.024159547;3.483997803
NPL;11;0.837746529;1.471;3.257969048;3.027605178;3.488332919
TPL;9;0.704139935;1.473;3.259080584;3.028588632;3.489572535
NPL;2;0.92031787;1.482;3.264082492;3.033008642;3.495156342
NPL;7;0.769170711;1.491;3.269084401;3.037419645;3.500749157
NPL;18;0.842100658;1.501;3.274642077;3.042310279;3.506973876
TPL;9;0.579171687;1.509;3.279088218;3.046214904;3.511961532
TPL;17;0.79274021;1.518;3.284090127;3.050599299;3.517580955
SPL;2;1.21478499;1.527;3.289092036;3.054974963;3.523209108
SPL;4;0.744828303;;;;
NPL;2;1.283747161;;;;
SPL;13;0.815584379;;;;
SPL;10;0.638593544;;;;
SPL;7;0.994617518;;;;
NPL;7;0.976728052;;;;
SPL;3;1.045836231;;;;
SPL;5;1.045836231;;;;
SPL;12;0.666611092;;;;
SPL;19;1.051286322;;;;
NPL;10;0.880179615;;;;
SPL;10;1.109055421;;;;
NPL;2;0.837746529;;;;
TPL;5;0.514576452;;;;
NAP;14;0.976728052;;;;
NAP;14;0.744828304;;;;
NAP;12;1.093748138;;;;
NAP;13;1.137297387;;;;
NAP;14;0.837746529;;;;
NAP;15;1.012086015;;;;
NAP;7;0.79274021;;;;
NAP;13;0.880179615;;;;
NAP;11;0.880179615;;;;
NAP;3;0.994617518;;;;
SAP;2;0.69360959;;;;
SAP;20;1.062152864;;;;
SAP;23;1.138754457;;;;
SAP;8;1.029152902;;;;
SAP;10;0.859266207;;;;
SAP;5;1.167310935;;;;
WMT;29;1.363160791;;;;
WMT;2;1.295625445;;;;
WMT;59;1.363160791;;;;
WMT;34;1.509193969;;;;
WMT;1;1.295625445;;;;
WMT;5;1.283747162;;;;
SPL;7;1.006888489;;;;
XER;1;1.181187542;;;;
XER;33;1.491304503;;;;
XER;3;1.271675727;;;;
XER;1;1.254439004;;;;
XER;4;1.181187542;;;;
XER;3;1.283747162;;;;
XER;3;1.258166428;;;;
XER;20;1.341324603;;;;
XER;3;1.304993101;;;;
XER;3;1.029152902;;;;
XER;2;0.787566831;;;;
XER;11;1.388716941;;;;
XER;3;1.045836231;;;;
XER;3;0.815584379;;;;
XER;4;0.815584379;;;;
NAP;3;1.35232298;;;;
NAP;1;0.719660575;;;;
NAP;7;1.194809519;;;;
NAP;4;1.193458514;;;;
NAP;11;1.341324603;;;;
NAP;5;0.666611091;;;;
NAP;13;1.259404755;;;;
NAP;21;0.744828303;;;;
NAP;3;0.994617518;;;;
NAP;27;0.815584379;;;;
NAP;23;1.138754457;;;;
NAP;16;1.415096431;;;;
NAP;17;0.792740211;;;;
NAP;16;1.350501196;;;;
NAP;10;1.404995909;;;;
NAP;14;1.444598733;;;;
NAP;20;0.994617518;;;;
NAP;29;0.939601472;;;;
NAP;33;0.815584379;;;;
NAP;17;1.029152902;;;;
NAP;25;0.90051998;;;;
NAP;16;1.234237026;;;;
NAP;20;0.69360959;;;;
NAP;20;1.240609399;;;;
NAP;7;1.370299086;;;;
NAP;17;1.138754457;;;;
NAP;16;1.425061371;;;;
NAP;15;1.341324603;;;;
NAP;5;1.434894322;;;;
NAP;19;0.764365665;;;;
TPL;10;0.939601472;;;;
NAP;22;1.10905542;;;;
NAP;12;1.251943618;;;;
SAP;34;0.729830281;;;;
SAP;27;0.79274021;;;;
SAP;26;0.609476993;;;;
TPL;35;0.69360959;;;;
SAP;26;0.79274021;;;;
SAP;20;0.69360959;;;;
TPL;26;0.815584379;;;;
NAP;22;0.69360959;;;;
TPL;26;1.116592307;;;;
TPL;24;0.698893434;;;;
TPL;29;1.062152864;;;;
NAP;26;1.012086015;;;;
TPL;23;0.79274021;;;;
NAP;18;1.113586728;;;;
SPL;16;0.514576451;;;;
SPL;23;0.958396827;;;;
SPL;9;1.10905542;;;;
TPL;7;0.958396827;;;;
SPL;21;0.230251853;;;;
SPL;9;0.365603164;;;;
SPL;5;0.443820376;;;;
SPL;18;0.514576452;;;;
SPL;21;0.994617518;;;;
SPL;11;0.769170711;;;;
SPL;7;0.880179615;;;;
SPL;15;0.579171687;;;;
SPL;15;1.181187542;;;;
WMT;5;0.920317871;;;;
WMT;2;1.07336481;;;;
WMT;1;0.666611091;;;;
WMT;6;1.124053444;;;;
WMT;3;0.769170711;;;;
WMT;7;1.045836231;;;;
WMT;7;0.715667758;;;;
WMT;4;0.69360959;;;;
WMT;7;0.76917071;;;;
WMT;8;0.719660575;;;;
WMT;5;0.638593544;;;;
WMT;1;1.124053444;;;;
WMT;5;0.638593544;;;;
WMT;3;0.875006236;;;;
WMT;2;0.976728052;;;;
WMT;1;0.779363688;;;;
WMT;9;0.939601472;;;;
WMT;1;1.246927538;;;;
WMT;3;0.930022282;;;;
WMT;7;0.859266207;;;;
WMT;3;1.124053444;;;;
WMT;8;0.744828304;;;;
WMT;2;1.062152864;;;;
NAP;4;1.153169995;;;;
SAP;7;1.219151926;;;;
SAP;3;1.167310935;;;;
NAP;10;0.719660575;;;;
SAP;6;1.246927538;;;;
SAP;14;1.137297386;;;;
NAP;10;0.939601471;;;;
NAP;12;0.638593544;;;;
TPL;10;0.638593544;;;;
TPL;11;0.443820376;;;;
TPL;8;0.994617518;;;;
SAP;22;0.930022282;;;;
TPL;12;0.920317871;;;;
TPL;21;0.815584379;;;;
TPL;28;0.69360959;;;;
TPL;23;0.90051998;;;;
TPL;31;0.976728052;;;;
TPL;12;0.815584379;;;;
TPL;7;0.638593544;;;;
TPL;18;0.480041067;;;;
TPL;19;0.547576413;;;;
CPL;18;1.307316662;;;;
UMW;19;0.958396827;;;;
UMW;27;0.90051998;;;;
UMW;3;1.259404755;;;;
UMW;17;1.259404755;;;;
UMW;12;1.318826611;;;;
SAP;22;1.078118573;;;;
SAP;13;0.480041067;;;;
NPL;10;0.443820376;;;;
NPL;8;0.638593544;;;;
TPL;10;1.045836231;;;;
TPL;4;1.137297387;;;;
SPL;15;0.480041067;;;;
SPL;8;0.27816376;;;;
SPL;2;0.79274021;;;;
SPL;2;1.093748138;;;;
SPL;5;1.208186041;;;;
SPL;5;1.35232298;;;;
XER;2;1.208186041;;;;
XER;3;0.880179615;;;;
SPL;9;1.208186041;;;;
NAP;18;1.307316662;;;;
NAP;14;1.194809519;;;;
NAP;7;0.744828303;;;;
TPL;37;0.837746529;;;;
TPL;25;0.983935651;;;;
TPL;25;0.579171687;;;;
NPL;2;0.480041066;;;;
NPL;5;0.994617518;;;;
NPL;3;0.976728052;;;;
NPL;4;1.029152902;;;;
NPL;3;1.093748138;;;;
NPL;3;0.514576451;;;;
NPL;5;1.33016083;;;;
WMT;1;1.221325798;;;;
NPL;3;0.609476993;;;;
NPL;7;1.234237026;;;;
NPL;4;0.638593544;;;;
TPL;3;1.045836231;;;;
NPL;3;1.208186041;;;;
NPL;4;1.194809519;;;;
NPL;6;1.138754457;;;;
NPL;4;0.837746529;;;;
TPL;19;1.404995909;;;;
NPL;2;0.994617518;;;;
NPL;6;1.099908978;;;;
NPL;1;0.880179614;;;;
NPL;6;1.045836231;;;;
NPL;1;0.609476993;;;;
SAP;7;0.976728052;;;;
SAP;8;1.167310935;;;;
SAP;28;0.815584379;;;;
SAP;32;1.517979597;;;;
SAP;34;1.093748138;;;;
SAP;28;1.116592307;;;;
SAP;35;0.744828304;;;;
SAP;3;1.295625445;;;;
SAP;37;1.124053444;;;;
CPL;25;0.514576452;;;;
SAP;30;0.815584379;;;;
SAP;3;0.27816376;;;;
SAP;39;0.900519981;;;;
SAP;54;1.045836231;;;;
SAP;33;1.234237026;;;;
SAP;50;0.837746529;;;;
SAP;26;0.976728052;;;;
SAP;26;0.92031787;;;;
SAP;2;1.153169995;;;;
CPL;28;0.301007928;;;;
CPL;30;0.90051998;;;;
CPL;28;0.27816376;;;;
CPL;26;0.230251853;;;;
CPL;37;0.76917071;;;;
CPL;28;0.514576451;;;;
CPL;29;0.230251853;;;;
CPL;10;1.194809519;;;;
SPL;33;1.425061371;;;;
SPL;14;1.39372427;;;;
CPL;11;1.240609399;;;;
SPL;7;1.239339293;;;;
SPL;11;1.124053444;;;;
SPL;15;1.271675727;;;;
CPL;4;1.283747162;;;;
CPL;8;1.138754457;;;;
SPL;16;1.138754456;;;;
SPL;14;1.249439814;;;;
SPL;7;1.318826611;;;;
SPL;8;0.994617518;;;;
SPL;22;0.76917071;;;;
SPL;14;1.029152902;;;;
CPL;15;1.124053444;;;;
SPL;4;1.045836231;;;;
CPL;28;0.837746529;;;;
SPL;12;0.719660575;;;;
CPL;16;0.778688493;;;;
SPL;10;1.394756066;;;;
XER;2;1.029152902;;;;
WMT;5;1.231030209;;;;
WMT;33;1.491304503;;;;
XER;1;1.207080491;;;;
WMT;2;1.138754457;;;;
XER;10;0.815584379;;;;
XER;2;0.90051998;;;;
WMT;49;1.517979597;;;;
WMT;23;1.444598733;;;;
WMT;3;1.271675727;;;;
XER;4;0.815584379;;;;
XER;2;1.307316662;;;;
WMT;3;1.167310935;;;;
SAP;5;1.181187542;;;;
SAP;7;1.029152902;;;;
SAP;15;1.167310935;;;;
SAP;4;0.994617518;;;;
SAP;19;1.295625445;;;;
SAP;27;1.434894322;;;;
SAP;18;1.259404755;;;;
SAP;17;1.454177922;;;;
SAP;19;1.389582687;;;;
SAP;16;1.318826611;;;;
SAP;16;1.33016083;;;;
SAP;43;1.425061371;;;;
SAP;7;0.920317871;;;;
NAP;7;0.792740211;;;;
NAP;7;1.029152902;;;;
NAP;9;1.012086015;;;;
NAP;24;1.454177922;;;;
NAP;3;1.271675727;;;;
NAP;13;1.295625445;;;;
NAP;9;0.994617518;;;;
NAP;3;1.045836231;;;;
NAP;8;0.976728052;;;;
NAP;10;1.042292659;;;;
NAP;17;0.69360959;;;;
NAP;13;0.666611092;;;;
NAP;14;0.696256213;;;;
NAP;6;0.563542123;;;;
NAP;14;0.837746529;;;;
NAP;6;0.672089912;;;;
WMT;1;0.79274021;;;;
WMT;1;1.271675727;;;;
WMT;5;1.124053444;;;;
XER;1;1.010357547;;;;
WMT;2;0.443820376;;;;
WMT;2;0.744828304;;;;
XER;6;0.90051998;;;;
WMT;2;0.709349619;;;;
UMW;18;0.859266207;;;;
UMW;20;0.618332488;;;;
UMW;28;0.609476993;;;;
UMW;25;0.837746529;;;;
UMW;14;1.065373593;;;;
UMW;15;0.98572667;;;;
UMW;20;0.931948034;;;;
UMW;12;0.92031787;;;;
TPL;22;0.773944855;;;;
UMW;15;0.480041067;;;;
UMW;22;1.012086015;;;;
UMW;28;1.078118573;;;;
UMW;22;0.808804634;;;;
UMW;24;0.837746529;;;;
UMW;23;0.880179614;;;;
UMW;12;1.062152864;;;;
SAP;26;1.062152864;;;;
SAP;30;1.078118574;;;;
SAP;32;1.167310935;;;;
SAP;23;1.045836231;;;;
SAP;22;1.029152903;;;;
SAP;16;1.167310935;;;;
SAP;24;0.976728052;;;;
SAP;22;1.167310935;;;;
SAP;22;1.221325798;;;;
SAP;20;1.234237026;;;;
SAP;27;1.35232298;;;;
XER;5;1.283747161;;;;
NPL;6;1.029152903;;;;
SPL;9;1.10905542;;;;
NPL;3;1.029152902;;;;
XER;6;0.744828303;;;;
NPL;5;0.92031787;;;;
SAP;2;0.40574142;;;;
SAP;13;1.045836231;;;;
SAP;10;1.138754457;;;;
SAP;21;0.719660575;;;;
SAP;4;1.10905542;;;;
SAP;8;1.012086015;;;;
SAP;4;0.837746529;;;;
SAP;24;1.029152902;;;;
SAP;12;0.837746529;;;;
CPL;23;0.90051998;;;;
SAP;21;1.078118573;;;;
SAP;10;1.194809519;;;;
CPL;9;0.92031787;;;;
CPL;18;0.859266207;;;;
SAP;23;0.994617518;;;;
CPL;18;0.920317871;;;;
CPL;27;0.958396827;;;;
CPL;13;1.029152902;;;;
SAP;22;1.194809519;;;;
CPL;5;1.029152902;;;;
CPL;27;0.79274021;;;;
CPL;15;1.124053444;;;;
CPL;12;0.939601472;;;;
SAP;15;1.062152864;;;;
CPL;9;0.994617518;;;;
CPL;5;1.109055421;;;;
CPL;13;0.939601471;;;;
CPL;5;0.92031787;;;;
SAP;16;0.90051998;;;;
SAP;16;1.093748138;;;;
CPL;26;1.167310935;;;;
CPL;26;0.92031787;;;;
SAP;16;0.579171687;;;;
CPL;29;0.719660575;;;;
SAP;24;0.90051998;;;;
SAP;17;1.373842658;;;;
CPL;24;1.029152902;;;;
CPL;25;0.815584379;;;;
SAP;17;1.138754457;;;;
CPL;19;0.958396827;;;;
CPL;3;0.880179615;;;;
CPL;28;1.153169995;;;;
CPL;31;0.976728052;;;;
SAP;13;0.301007928;;;;
SAP;17;0.547576413;;;;
CPL;19;0.69360959;;;;
CPL;29;0.837746529;;;;
SAP;9;1.259404755;;;;
CPL;29;1.029152902;;;;
CPL;28;0.976728052;;;;
SAP;8;0.719660575;;;;
CPL;25;0.609476993;;;;
CPL;31;0.69360959;;;;
SAP;18;0.920317871;;;;
SAP;21;0.976728052;;;;
SAP;18;0.747298778;;;;
SAP;8;1.384373003;;;;
SAP;1;0.79274021;;;;
SAP;13;0.547576413;;;;
CPL;11;1.138754457;;;;
CPL;16;0.859266207;;;;
CPL;4;0.393926153;;;;
CPL;7;0.958396827;;;;
SAP;9;0.837746529;;;;
SAP;6;0.815584379;;;;
SAP;6;1.194809519;;;;
SAP;20;0.547576413;;;;
CPL;21;0.514576451;;;;
CPL;5;1.143590805;;;;
SAP;11;1.153169995;;;;
SAP;19;1.48219547;;;;
CPL;9;1.029152902;;;;
CPL;3;0.815584379;;;;
SAP;17;1.384373003;;;;
SAP;6;0.859266207;;;;
SAP;3;1.208186041;;;;
CPL;3;0.179033139;;;;
SAP;16;1.181187542;;;;
CPL;5;1.062152864;;;;
SAP;2;1.051997071;;;;
SAP;12;1.234237026;;;;
SAP;10;0.680233068;;;;
CPL;9;0.95093569;;;;
SAP;11;0.920317871;;;;
SAP;10;0.92031787;;;;
SAP;2;0.609476993;;;;
CPL;2;0.480041066;;;;
SAP;9;0.90051998;;;;
CPL;8;0.939601472;;;;
SAP;3;1.104714023;;;;
XER;2;0.90051998;;;;
WMT;1;1.029152902;;;;
XER;2;1.317683614;;;;
XER;4;0.769170711;;;;
XER;1;0.958396827;;;;
XER;4;0.939601472;;;;
XER;4;1.221325798;;;;
XER;3;1.029152903;;;;
XER;1;0.939601471;;;;
XER;1;0.769170711;;;;
XER;1;1.10905542;;;;
XER;4;0.90051998;;;;
XER;1;0.609476993;;;;
XER;4;1.029152903;;;;
WMT;1;0.960250454;;;;
WMT;2;1.261052651;;;;
XER;3;1.234237026;;;;
WMT;12;1.367451999;;;;
WMT;1;0.792740211;;;;
XER;30;1.208186041;;;;
WMT;2;0.880179615;;;;
WMT;1;1.045836231;;;;
WMT;1;1.078118574;;;;
XER;38;1.394756066;;;;
XER;1;1.153169995;;;;
WMT;1;0.815584379;;;;
WMT;1;1.208186041;;;;
XER;3;1.248184739;;;;
WMT;2;0.443820376;;;;
SPL;1;1.246927538;;;;
SPL;4;0.547576413;;;;
SPL;4;0.90051998;;;;
SPL;5;0.815584379;;;;
SPL;13;0.79274021;;;;
XER;4;0.792740211;;;;
SPL;13;0.792740211;;;;
XER;4;0.514576452;;;;
WMT;5;0.815584379;;;;
SPL;6;0.958396827;;;;
XER;4;0.815584379;;;;
WMT;2;1.012086015;;;;
XER;5;0.744828304;;;;
WMT;3;0.90051998;;;;
WMT;5;0.837746529;;;;
SPL;7;0.930022282;;;;
WMT;2;0.792740211;;;;
XER;2;0.443820376;;;;
SPL;8;0.90051998;;;;
WMT;3;1.10905542;;;;
XER;1;1.124053444;;;;
WMT;1;0.962099463;;;;
WMT;2;1.045836231;;;;
SPL;2;1.153169995;;;;
SPL;2;0.579171687;;;;
NAP;12;1.078118574;;;;
NAP;20;1.208186041;;;;
NAP;13;1.269237705;;;;
NAP;10;0.994617518;;;;
NAP;7;1.029152902;;;;
NAP;18;1.022373158;;;;
NAP;7;1.078118574;;;;
NAP;11;1.394756066;;;;
NAP;6;1.124053444;;;;
NAP;11;1.221325798;;;;
NAP;9;1.10905542;;;;
NAP;9;1.124053444;;;;
NAP;9;1.062152864;;;;
NAP;16;0.837746529;;;;
SAP;17;1.109055421;;;;
CPL;11;0.958396827;;;;
SAP;10;1.167310935;;;;
CPL;5;1.045836231;;;;
CPL;5;0.90051998;;;;
CPL;2;0.90051998;;;;
CPL;6;1.295625445;;;;
CPL;15;1.194809519;;;;
CPL;11;1.221325798;;;;
CPL;11;1.181187542;;;;
CPL;16;1.295625445;;;;
CPL;2;1.208186041;;;;
CPL;12;0.94905863;;;;
CPL;3;1.404995909;;;;
CPL;12;0.880179615;;;;
CPL;12;1.138754457;;;;
CPL;1;0.230251853;;;;
CPL;3;1.194809519;;;;
CPL;1;1.307316662;;;;
CPL;4;1.029152902;;;;
SAP;17;0.880179615;;;;
CPL;11;1.33016083;;;;
CPL;8;1.283747162;;;;
CPL;9;0.908502604;;;;
CPL;23;0.958396827;;;;
CPL;12;0.958396827;;;;
CPL;11;0.994617518;;;;
CPL;16;0.837746529;;;;
CPL;20;1.221325798;;;;
SAP;15;1.194809519;;;;
CPL;20;1.124053444;;;;
CPL;11;1.221325798;;;;
CPL;3;1.08284209;;;;
SAP;17;1.045836231;;;;
CPL;4;1.062152864;;;;
SAP;9;0.958396827;;;;
SAP;6;1.078118573;;;;
SAP;7;1.181187542;;;;
SAP;16;1.012086015;;;;
CPL;16;1.271675727;;;;
SAP;12;0.939601471;;;;
SAP;12;1.318826611;;;;
SAP;17;1.194809519;;;;
SAP;7;0.76917071;;;;
TPL;7;1.029152902;;;;
TPL;3;0.815584379;;;;
TPL;17;0.40574142;;;;
TPL;20;1.012086015;;;;
TPL;17;0.666611091;;;;
TPL;18;0.638593544;;;;
UMW;25;0.179033139;;;;
TPL;15;0.579171687;;;;
TPL;20;0.980340599;;;;
UMW;23;1.029152902;;;;
TPL;15;0.609476993;;;;
TPL;23;0.480041067;;;;
UMW;11;0.90051998;;;;
TPL;15;0.365603164;;;;
TPL;21;0.920317871;;;;
UMW;18;0.719660575;;;;
TPL;12;0.365603164;;;;
TPL;18;0.405741419;;;;
TPL;28;0.638593544;;;;
TPL;21;0.706749347;;;;
UMW;21;1.062152864;;;;
TPL;1;0.92031787;;;;
TPL;2;1.062152864;;;;
XER;2;1.194809519;;;;
WMT;5;1.012086015;;;;
WMT;3;0.815584379;;;;
WMT;6;1.153169995;;;;
XER;2;1.194809519;;;;
WMT;3;1.129968829;;;;
WMT;4;0.994617518;;;;
XER;4;1.062152864;;;;
WMT;7;0.90051998;;;;
TPL;11;0.861384259;;;;
TPL;12;0.744828304;;;;
TPL;14;0.666611091;;;;
TPL;8;0.514576452;;;;
TPL;17;0.958396827;;;;
TPL;1;0.514576451;;;;
TPL;17;0.920317871;;;;
TPL;11;0.815584379;;;;
CPL;13;0.443820376;;;;
TPL;25;0.976728052;;;;
TPL;3;1.093748138;;;;
TPL;25;1.055203887;;;;
TPL;2;0.579171687;;;;
UMW;19;0.744828304;;;;
TPL;5;0.638593544;;;;
TPL;1;0.719660575;;;;
TPL;7;0.837746529;;;;
TPL;1;0.323170078;;;;
TPL;23;0.880179615;;;;
TPL;8;0.579171687;;;;
TPL;7;0.579171687;;;;
TPL;14;0.769170711;;;;
UMW;20;0.844268184;;;;
TPL;1;0.323170078;;;;
TPL;17;0.958396827;;;;
TPL;29;0.769170711;;;;
TPL;13;0.744828304;;;;
SPL;15;1.109055421;;;;
SPL;9;1.124053444;;;;
TPL;7;0.815584379;;;;
TPL;7;0.744828303;;;;
SPL;6;0.90051998;;;;
SPL;7;0.719660575;;;;
SPL;2;0.744828304;;;;
TPL;8;0.609476993;;;;
SPL;20;0.769170711;;;;
SPL;18;0.769170711;;;;
TPL;24;1.093748138;;;;
SPL;10;1.153169995;;;;
TPL;16;0.920317871;;;;
TPL;13;0.837746529;;;;
SPL;5;0.939601472;;;;
SPL;9;0.514576452;;;;
SPL;15;1.078118574;;;;
TPL;12;0.792740211;;;;
TPL;10;0.880179615;;;;
TPL;16;0.859266207;;;;
SPL;16;0.880179615;;;;
SPL;1;1.33016083;;;;
SPL;13;1.138754457;;;;
TPL;11;0.69360959;;;;
SPL;14;0.939601472;;;;
SPL;5;0.79274021;;;;
TPL;18;0.880179615;;;;
SAP;16;0.92031787;;;;
SAP;31;0.859266206;;;;
SAP;12;0.976728052;;;;
SAP;22;1.124053444;;;;
SAP;18;1.062152864;;;;
SAP;14;1.295625445;;;;
SAP;11;1.029152903;;;;
SAP;3;0.920317871;;;;
SAP;23;1.012086015;;;;
SAP;18;1.062152864;;;;
SAP;33;0.815584379;;;;
SAP;27;0.76917071;;;;
SAP;40;0.79274021;;;;
TPL;4;1.109055421;;;;
SAP;23;0.69360959;;;;
SAP;23;0.976728052;;;;
SAP;35;0.880179614;;;;
SAP;31;0.769170711;;;;
SAP;23;0.69360959;;;;
SAP;49;0.69360959;;;;
CPL;2;0.064595236;;;;
SAP;23;0.994617518;;;;
SAP;17;1.145997215;;;;
SAP;3;1.153169995;;;;
SAP;33;1.181187542;;;;
SAP;16;1.283747162;;;;
TPL;2;1.181187542;;;;
SAP;12;0.958396827;;;;
TPL;11;0.744828304;;;;
CPL;2;0.480041066;;;;
CPL;16;0.92031787;;;;
CPL;23;0.837746529;;;;
CPL;18;0.744828304;;;;
CPL;22;0.323170078;;;;
CPL;27;0.958396827;;;;
CPL;10;0.994617518;;;;
CPL;5;0.638593544;;;;
CPL;18;1.194809519;;;;
CPL;15;1.221325798;;;;
CPL;5;0.514576451;;;;
CPL;10;1.062152864;;;;
CPL;16;1.221325798;;;;
CPL;1;0.994617518;;;;
CPL;13;0.514576451;;;;
CPL;18;0.939601471;;;;
CPL;19;0.79274021;;;;
CPL;9;0.69360959;;;;
CPL;14;0.744828303;;;;
NAP;11;0.40574142;;;;
NAP;8;1.221325798;;;;
NAP;8;0.90051998;;;;
NAP;8;0.769170711;;;;
NAP;2;0.908502604;;;;
NAP;8;1.221325798;;;;
NAP;13;0.609476993;;;;
NAP;9;1.029152902;;;;
NAP;6;0.920317871;;;;
NAP;7;0.579171687;;;;
CPL;12;0.859266207;;;;
SAP;5;0.769170711;;;;
SAP;15;1.012086015;;;;
SAP;16;1.124053444;;;;
SAP;18;1.029152903;;;;
SAP;13;0.958396827;;;;
CPL;4;0.859266207;;;;
SAP;18;1.045836231;;;;
SAP;25;0.976728052;;;;
CPL;7;0.880179614;;;;
SAP;22;1.221325798;;;;
SAP;1;0.480041067;;;;
CPL;26;1.045836231;;;;
UMW;14;0.859266207;;;;
UMW;11;1.153169995;;;;
UMW;8;1.153169995;;;;
UMW;8;0.920317871;;;;
UMW;12;1.093748138;;;;
UMW;8;1.181187542;;;;
UMW;5;0.976728052;;;;
UMW;8;0.744828303;;;;
UMW;6;0.880179615;;;;
UMW;15;0.744828304;;;;
UMW;8;0.90051998;;;;
UMW;23;1.124053444;;;;
UMW;14;1.259404755;;;;
TPL;17;0.323170078;;;;
TPL;3;0.365603164;;;;
UMW;5;0.95093569;;;;
UMW;11;0.880179615;;;;
UMW;6;1.121077981;;;;
UMW;3;0.815584379;;;;
UMW;4;1.078118574;;;;
UMW;1;0.76917071;;;;
UMW;2;0.976728052;;;;
UMW;7;1.029152902;;;;
UMW;18;0.815584379;;;;
TPL;6;0.064595236;;;;
UMW;2;0.480041066;;;;
UMW;6;0.547576413;;;;
UMW;4;0.863496286;;;;
UMW;1;0.393926153;;;;
TPL;6;0.547576413;;;;
UMW;6;0.719660575;;;;
UMW;4;1.029152902;;;;
UMW;12;1.045836231;;;;
UMW;8;1.221325798;;;;
UMW;9;1.232955961;;;;
UMW;7;1.153169995;;;;
TPL;14;0.666611091;;;;
UMW;2;1.062152864;;;;
UMW;2;1.109055421;;;;
UMW;20;1.275317812;;;;
UMW;12;1.194809519;;;;
UMW;16;0.815584379;;;;
UMW;9;0.230251853;;;;
UMW;19;0.744828303;;;;
UMW;1;0.859266207;;;;
UMW;7;0.837746529;;;;
UMW;12;0.79274021;;;;
UMW;13;1.318826611;;;;
UMW;14;0.958396827;;;;
TPL;18;0.958396827;;;;
TPL;3;0.547576413;;;;
UMW;2;0.719660575;;;;
UMW;7;0.947176812;;;;
UMW;21;0.40574142;;;;
UMW;8;0.230251853;;;;
UMW;20;1.029152902;;;;
UMW;19;1.062152864;;;;
UMW;20;0.837746529;;;;
UMW;2;1.138754457;;;;
TPL;25;0.443820376;;;;
UMW;5;0.792740211;;;;
UMW;10;1.295625445;;;;
UMW;19;0.815584379;;;;
TPL;3;0.90051998;;;;
UMW;15;0.859266207;;;;
TPL;8;1.047484127;;;;
TPL;12;0.976728052;;;;
TPL;8;0.880179615;;;;
SAP;33;0.90051998;;;;
TPL;9;0.90051998;;;;
